fixture_id,date,team_id,player_id,player_name,position,minutes,rating,is_starter,goals,assists,shots_total,shots_on,passes_total,passes_key,passes_accuracy,tackles,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow,red
1565177,2026-06-30 21:00:00+00:00,2,22221,Mike Maignan,G,90.0,7.7,True,,0.0,,,24.0,,16.0,,,,,,,,,0,0
1565177,2026-06-30 21:00:00+00:00,2,1257,Jules Koundé,D,75.0,7.2,True,,0.0,,,40.0,1.0,34.0,2.0,,9.0,6.0,1.0,1.0,1.0,,0,0
1565177,2026-06-30 21:00:00+00:00,2,1149,Dayot Upamecano,D,90.0,7.0,True,,0.0,1.0,,47.0,,43.0,,1.0,7.0,2.0,,,,1.0,0,0
1565177,2026-06-30 21:00:00+00:00,2,22090,William Saliba,D,90.0,7.2,True,,0.0,,,53.0,,50.0,1.0,1.0,7.0,5.0,1.0,1.0,,2.0,0,0
1565177,2026-06-30 21:00:00+00:00,2,2724,Lucas Digne,D,78.0,7.2,True,,0.0,1.0,1.0,41.0,,31.0,1.0,,7.0,5.0,1.0,,1.0,1.0,0,0
1565177,2026-06-30 21:00:00+00:00,2,1271,Aurélien Tchouaméni,M,90.0,7.7,True,,0.0,1.0,,67.0,2.0,62.0,3.0,1.0,8.0,5.0,,,2.0,1.0,0,0
1565177,2026-06-30 21:00:00+00:00,2,272,Adrien Rabiot,M,90.0,6.9,True,,0.0,2.0,1.0,68.0,3.0,62.0,1.0,2.0,8.0,2.0,,,1.0,4.0,0,0
1565177,2026-06-30 21:00:00+00:00,2,153,Ousmane Dembélé,M,75.0,7.5,True,,1.0,1.0,,39.0,4.0,35.0,1.0,,4.0,3.0,2.0,1.0,1.0,,0,0
1565177,2026-06-30 21:00:00+00:00,2,19617,Michael Olise,M,85.0,9.0,True,,2.0,5.0,3.0,69.0,2.0,63.0,1.0,,7.0,4.0,3.0,2.0,1.0,1.0,0,0
1565177,2026-06-30 21:00:00+00:00,2,161904,Bradley Barcola,M,90.0,7.9,True,1.0,0.0,3.0,2.0,30.0,1.0,26.0,1.0,,12.0,5.0,7.0,3.0,,,0,0
1565177,2026-06-30 21:00:00+00:00,2,278,Kylian Mbappé,F,85.0,9.6,True,2.0,0.0,5.0,4.0,41.0,4.0,34.0,,,8.0,5.0,5.0,3.0,1.0,1.0,0,0
1565177,2026-06-30 21:00:00+00:00,2,161907,Malo Gusto,D,15.0,6.6,False,,0.0,,,12.0,1.0,12.0,1.0,,2.0,1.0,,,,1.0,0,0
1565177,2026-06-30 21:00:00+00:00,2,343027,Désiré Doué,F,15.0,6.6,False,,0.0,1.0,1.0,6.0,1.0,4.0,1.0,,4.0,2.0,1.0,,1.0,,0,0
1565177,2026-06-30 21:00:00+00:00,2,47300,Theo Hernández,D,12.0,6.9,False,,0.0,,,11.0,1.0,11.0,,,1.0,1.0,,,,,0,0
1565177,2026-06-30 21:00:00+00:00,2,156477,Rayan Cherki,M,9.0,6.3,False,,0.0,,,2.0,,1.0,,,1.0,,,,,1.0,0,0
