fixture_id,date,team_id,player_id,player_name,position,minutes,rating,is_starter,goals,assists,shots_total,shots_on,passes_total,passes_key,passes_accuracy,tackles,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow,red
1567306,2026-07-01 01:00:00+00:00,16,270774,Raúl Rangel,G,90.0,7.7,True,,0.0,,,35.0,,24.0,,,1.0,1.0,,,,,0,0
1567306,2026-07-01 01:00:00+00:00,16,2878,Jorge Sánchez,D,90.0,7.0,True,,0.0,,,20.0,2.0,15.0,3.0,1.0,7.0,4.0,,,,1.0,0,0
1567306,2026-07-01 01:00:00+00:00,16,2873,César Montes,D,90.0,7.7,True,,0.0,1.0,1.0,29.0,,21.0,1.0,,9.0,6.0,,,1.0,,0,0
1567306,2026-07-01 01:00:00+00:00,16,35544,Johan Vásquez,D,90.0,7.7,True,,0.0,1.0,,44.0,,38.0,,,7.0,7.0,,,2.0,,0,0
1567306,2026-07-01 01:00:00+00:00,16,2881,Jesús Gallardo,D,90.0,6.7,True,,0.0,,,20.0,,13.0,,1.0,4.0,1.0,,,,3.0,0,0
1567306,2026-07-01 01:00:00+00:00,16,482605,Gilberto Mora,M,58.0,7.2,True,,0.0,2.0,,25.0,2.0,22.0,1.0,1.0,8.0,5.0,2.0,1.0,2.0,,0,0
1567306,2026-07-01 01:00:00+00:00,16,266345,Erik Lira,M,90.0,7.2,True,,0.0,,,34.0,2.0,32.0,1.0,,4.0,2.0,,,1.0,,0,0
1567306,2026-07-01 01:00:00+00:00,16,35970,Luis Romo,M,73.0,6.9,True,,0.0,1.0,,23.0,1.0,19.0,1.0,2.0,5.0,2.0,,,,,0,0
1567306,2026-07-01 01:00:00+00:00,16,2879,Roberto Alvarado,F,80.0,7.2,True,,1.0,1.0,,25.0,4.0,20.0,,,7.0,3.0,1.0,1.0,2.0,1.0,0,0
1567306,2026-07-01 01:00:00+00:00,16,2887,Raúl Jiménez,F,74.0,7.7,True,1.0,0.0,4.0,1.0,19.0,,12.0,,,8.0,5.0,,,1.0,1.0,0,0
1567306,2026-07-01 01:00:00+00:00,16,35532,Julián Quiñones,F,80.0,8.3,True,1.0,1.0,1.0,1.0,23.0,3.0,17.0,1.0,,8.0,4.0,1.0,1.0,1.0,2.0,0,0
1567306,2026-07-01 01:00:00+00:00,16,212233,Brian Gutiérrez,M,32.0,6.3,False,,0.0,,,7.0,,4.0,1.0,1.0,5.0,2.0,2.0,1.0,,1.0,0,0
1567306,2026-07-01 01:00:00+00:00,16,313383,Obed Vargas,M,17.0,6.3,False,,0.0,,,4.0,,4.0,,1.0,1.0,,,,,,0,0
1567306,2026-07-01 01:00:00+00:00,16,94562,Santiago Giménez,F,16.0,7.0,False,,0.0,,,3.0,,3.0,,,7.0,3.0,1.0,,2.0,1.0,0,0
1567306,2026-07-01 01:00:00+00:00,16,127227,Israel Reyes,D,10.0,6.9,False,,0.0,,,4.0,,3.0,1.0,,1.0,1.0,,,,,0,0
1567306,2026-07-01 01:00:00+00:00,16,35576,Orbelín Pineda,M,10.0,6.3,False,,0.0,1.0,,4.0,,2.0,,,7.0,3.0,2.0,,2.0,,0,0
1567306,2026-07-01 01:00:00+00:00,16,35769,Carlos Acevedo,G,,,False,,,,,,,,,,,,,,,,0,0
1567306,2026-07-01 01:00:00+00:00,16,2098,Guillermo Ochoa,G,,,False,,,,,,,,,,,,,,,,0,0
1567306,2026-07-01 01:00:00+00:00,16,390002,Mateo Chávez,D,,,False,,,,,,,,,,,,,,,,0,0
1567306,2026-07-01 01:00:00+00:00,16,2869,Edson Álvarez,M,,,False,,,,,,,,,,,,,,,,0,0
1567306,2026-07-01 01:00:00+00:00,16,35690,Luis Chávez,M,,,False,,,,,,,,,,,,,,,,0,0
1567306,2026-07-01 01:00:00+00:00,16,750,Álvaro Fidalgo,M,,,False,,,,,,,,,,,,,,,,0,0
1567306,2026-07-01 01:00:00+00:00,16,36111,César Huerta,M,,,False,,,,,,,,,,,,,,,,0,0
1567306,2026-07-01 01:00:00+00:00,16,2889,Alexis Vega,F,,,False,,,,,,,,,,,,,,,,0,0
1567306,2026-07-01 01:00:00+00:00,16,291713,Armando González,F,,,False,,,,,,,,,,,,,,,,0,0
1567306,2026-07-01 01:00:00+00:00,16,36088,Guillermo Martínez,F,,,False,,,,,,,,,,,,,,,,0,0
1567306,2026-07-01 01:00:00+00:00,2382,16380,Hernán Galíndez,G,90.0,6.5,True,,0.0,,,24.0,,11.0,,,,,,,,,0,0
1567306,2026-07-01 01:00:00+00:00,2382,16360,Alan Franco,D,45.0,5.9,True,,0.0,,,10.0,,10.0,,,2.0,,,,,1.0,1,0
