fixture_id,date,team_id,player_id,player_name,position,minutes,rating,is_starter,goals,assists,shots_total,shots_on,passes_total,passes_key,passes_accuracy,tackles,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow,red
1539017,2026-06-22 21:00:00+00:00,2,22221,Mike Maignan,G,90.0,6.7,True,,0.0,,,10.0,,9.0,,,,,,,,,0,0
1539017,2026-06-22 21:00:00+00:00,2,1257,Jules Koundé,D,83.0,7.0,True,,0.0,,,41.0,1.0,36.0,1.0,,4.0,3.0,,,1.0,,0,0
1539017,2026-06-22 21:00:00+00:00,2,1149,Dayot Upamecano,D,90.0,8.2,True,,0.0,,,78.0,1.0,75.0,1.0,2.0,6.0,3.0,,,,1.0,0,0
1539017,2026-06-22 21:00:00+00:00,2,22090,William Saliba,D,90.0,7.2,True,,0.0,1.0,,64.0,,61.0,1.0,2.0,9.0,4.0,,,,,0,0
1539017,2026-06-22 21:00:00+00:00,2,2724,Lucas Digne,D,90.0,6.9,True,,0.0,,,60.0,1.0,52.0,,,3.0,1.0,,,,1.0,0,0
1539017,2026-06-22 21:00:00+00:00,2,22147,Manu Koné,M,90.0,7.2,True,,0.0,1.0,,73.0,,67.0,3.0,,10.0,5.0,1.0,1.0,1.0,2.0,0,0
1539017,2026-06-22 21:00:00+00:00,2,272,Adrien Rabiot,M,90.0,7.2,True,,0.0,1.0,,73.0,,72.0,1.0,,5.0,2.0,,,,2.0,0,0
1539017,2026-06-22 21:00:00+00:00,2,153,Ousmane Dembélé,M,68.0,8.6,True,1.0,1.0,3.0,2.0,43.0,3.0,36.0,1.0,,10.0,4.0,6.0,3.0,,,0,0
1539017,2026-06-22 21:00:00+00:00,2,19617,Michael Olise,M,68.0,8.0,True,,2.0,1.0,,42.0,3.0,33.0,1.0,,11.0,6.0,4.0,3.0,1.0,,0,0
1539017,2026-06-22 21:00:00+00:00,2,161904,Bradley Barcola,M,83.0,6.9,True,,0.0,1.0,,32.0,,25.0,2.0,1.0,6.0,5.0,3.0,2.0,,,0,0
1539017,2026-06-22 21:00:00+00:00,2,278,Kylian Mbappé,F,89.0,9.3,True,2.0,0.0,7.0,3.0,39.0,2.0,35.0,1.0,,9.0,4.0,4.0,2.0,1.0,1.0,0,0
1539017,2026-06-22 21:00:00+00:00,2,156477,Rayan Cherki,M,22.0,7.2,False,,0.0,,,21.0,1.0,18.0,1.0,,3.0,2.0,2.0,1.0,,,0,0
1539017,2026-06-22 21:00:00+00:00,2,343027,Désiré Doué,F,22.0,6.3,False,,0.0,,,12.0,,10.0,,,,,,,,,0,0
1539017,2026-06-22 21:00:00+00:00,2,161907,Malo Gusto,D,10.0,6.7,False,,0.0,,,7.0,,6.0,,,1.0,,,,,1.0,0,0
