fixture_id,date,team_id,team_name,opponent_id,is_home,goals_for,goals_against,outcome,possession_pct,passes_total,passes_accurate,passes_pct,shots_total,shots_on_target,shots_off_target,shots_blocked,shots_inside_box,shots_outside_box,fouls,corners,offsides,yellow_cards,red_cards,gk_saves,xg,is_complete
1567312,2026-07-03 03:00:00+00:00,15,Switzerland,1532,True,2,0,W,45.0,436.0,354.0,81.0,11.0,5.0,4.0,2.0,9.0,2.0,10.0,4.0,0.0,0.0,,2.0,2.56,True
1567312,2026-07-03 03:00:00+00:00,1532,Algeria,15,False,0,2,L,55.0,561.0,476.0,85.0,8.0,2.0,3.0,3.0,5.0,3.0,12.0,2.0,2.0,2.0,,2.0,0.73,True
