fixture_id,date,team_id,team_name,opponent_id,is_home,goals_for,goals_against,outcome,possession_pct,passes_total,passes_accurate,passes_pct,shots_total,shots_on_target,shots_off_target,shots_blocked,shots_inside_box,shots_outside_box,fouls,corners,offsides,yellow_cards,red_cards,gk_saves,xg,is_complete
1489422,2026-06-27 21:00:00+00:00,11,Panama,10,True,0,2,L,33.0,260.0,195.0,75.0,12.0,2.0,7.0,3.0,8.0,4.0,14.0,2.0,3.0,2.0,,4.0,0.59,True
1489422,2026-06-27 21:00:00+00:00,10,England,11,False,2,0,W,67.0,551.0,488.0,89.0,16.0,6.0,8.0,2.0,12.0,4.0,11.0,6.0,4.0,1.0,,2.0,1.34,True
