fixture_id,minute,minute_extra,team_id,player_id,player_name,assist_id,type,detail
1489410,2,,25,644,Leroy Sané,203224.0,Goal,Normal Goal
1489410,9,,2382,311543,Nilson Angulo,237078.0,Goal,Normal Goal
1489410,43,,2382,127817,Piero Hincapié,,Card,Yellow Card
1489410,44,,25,328033,Aleksandar Pavlović,,Card,Yellow Card
1489410,46,,25,328033,Aleksandar Pavlović,137210.0,subst,Substitution 1
1489410,50,,2382,16360,Alan Franco,,Card,Yellow Card
1489410,60,,25,502,Joshua Kimmich,163189.0,subst,Substitution 2
1489410,60,,25,978,Kai Havertz,26475.0,subst,Substitution 3
1489410,64,,2382,16360,Alan Franco,2583.0,subst,Substitution 1
1489410,64,,2382,35533,Enner Valencia,361966.0,subst,Substitution 2
1489410,64,,25,637,Felix Nmecha,158644.0,subst,Substitution 4
1489410,71,,2382,127817,Piero Hincapié,46731.0,subst,Substitution 3
1489410,73,,25,203224,Florian Wirtz,18970.0,subst,Substitution 5
1489410,77,,2382,16369,Gonzalo Plata,361966.0,Goal,Normal Goal
1489410,85,,2382,311543,Nilson Angulo,16590.0,subst,Substitution 4
1489410,85,,2382,25414,John Yeboah,63964.0,subst,Substitution 5
1489410,89,,2382,16369,Gonzalo Plata,,Card,Yellow Card
