fixture_id,date,team_id,player_id,player_name,position,minutes,rating,is_starter,goals,assists,shots_total,shots_on,passes_total,passes_key,passes_accuracy,tackles,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow,red
1539005,2026-06-18 19:00:00+00:00,15,25282,Gregor Kobel,G,90.0,5.9,True,,0.0,,,36.0,,24.0,,,2.0,2.0,,,,,0,0
1539005,2026-06-18 19:00:00+00:00,15,48378,Silvan Widmer,D,86.0,6.5,True,,0.0,,,26.0,,20.0,,,3.0,,,,,1.0,0,0
1539005,2026-06-18 19:00:00+00:00,15,2803,Nico Elvedi,D,90.0,6.9,True,,0.0,,,70.0,1.0,67.0,,,6.0,4.0,,,2.0,1.0,1,0
1539005,2026-06-18 19:00:00+00:00,15,5,Manuel Akanji,D,90.0,7.9,True,,0.0,,,81.0,1.0,80.0,3.0,2.0,8.0,7.0,,,2.0,,0,0
1539005,2026-06-18 19:00:00+00:00,15,1631,Ricardo Rodríguez,D,90.0,6.3,True,,0.0,,,60.0,,51.0,3.0,,5.0,3.0,,,,1.0,0,0
1539005,2026-06-18 19:00:00+00:00,15,951,Michel Aebischer,M,71.0,6.9,True,,0.0,1.0,,31.0,1.0,27.0,4.0,,9.0,7.0,1.0,1.0,1.0,1.0,0,0
1539005,2026-06-18 19:00:00+00:00,15,1464,Granit Xhaka,M,90.0,8.2,True,1.0,0.0,1.0,1.0,104.0,2.0,95.0,2.0,1.0,6.0,4.0,,,2.0,1.0,0,0
1539005,2026-06-18 19:00:00+00:00,15,2807,Remo Freuler,M,90.0,7.5,True,,0.0,1.0,,77.0,1.0,71.0,2.0,,10.0,4.0,2.0,1.0,,,0,0
1539005,2026-06-18 19:00:00+00:00,15,163032,Fabian Rieder,M,71.0,7.2,True,,0.0,,,29.0,,26.0,3.0,1.0,7.0,5.0,,,2.0,,0,0
1539005,2026-06-18 19:00:00+00:00,15,421,Breel Embolo,F,89.0,7.6,True,,1.0,,,15.0,2.0,10.0,,,11.0,5.0,,,4.0,1.0,0,0
1539005,2026-06-18 19:00:00+00:00,15,48648,Dan Ndoye,F,71.0,6.3,True,,0.0,3.0,2.0,16.0,1.0,13.0,1.0,,9.0,4.0,2.0,,2.0,1.0,0,0
1539005,2026-06-18 19:00:00+00:00,15,406244,Johan Manzambi,M,19.0,8.5,False,2.0,0.0,2.0,2.0,13.0,,9.0,,,5.0,1.0,4.0,1.0,,,0,0
1539005,2026-06-18 19:00:00+00:00,15,957,Djibril Sow,M,19.0,7.0,False,,0.0,,,10.0,,8.0,,,1.0,1.0,,,1.0,,0,0
1539005,2026-06-18 19:00:00+00:00,15,48471,Rubén Vargas,M,19.0,8.5,False,1.0,1.0,2.0,2.0,9.0,1.0,8.0,1.0,,1.0,1.0,,,,,0,0
1539005,2026-06-18 19:00:00+00:00,15,349344,Luca Jaquez,D,12.0,6.5,False,,0.0,,,8.0,,7.0,,,1.0,1.0,,,,,0,0
