fixture_id,date,team_id,player_id,player_name,position,minutes,rating,is_starter,goals,assists,shots_total,shots_on,passes_total,passes_key,passes_accuracy,tackles,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow,red
1489385,2026-06-17 23:00:00+00:00,1504,3412,Lawrence Ati Zigi,G,51.0,7.2,True,,,,,10.0,,7.0,,,1.0,1.0,,,1.0,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,191240,Marvin Senaya,D,51.0,6.6,True,,,,,17.0,,11.0,3.0,1.0,5.0,3.0,,,,1.0,0,0
1489385,2026-06-17 23:00:00+00:00,1504,369425,Jonas Adjei Adjetey,D,51.0,6.6,True,,,,,29.0,,26.0,,,1.0,1.0,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,137223,Jerome Opoku,D,51.0,6.9,True,,,,,24.0,,22.0,1.0,,2.0,2.0,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,7578,Gideon Mensah,D,51.0,6.3,True,,,,,22.0,,20.0,,1.0,5.0,1.0,2.0,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,350856,Ernest Nuamah,M,51.0,6.5,True,,,,,11.0,,7.0,,,6.0,2.0,1.0,,1.0,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,475575,Caleb Yirenkyi,M,51.0,6.9,True,,,,,17.0,,16.0,1.0,3.0,6.0,4.0,2.0,2.0,1.0,1.0,1,0
1489385,2026-06-17 23:00:00+00:00,1504,21010,Elisha Owusu,M,51.0,6.6,True,,,1.0,,18.0,,15.0,1.0,,2.0,1.0,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,19281,Antoine Semenyo,M,51.0,6.3,True,,,,,5.0,,5.0,,,3.0,1.0,,,1.0,1.0,0,0
1489385,2026-06-17 23:00:00+00:00,1504,199837,Kamaldeen Sulemana,F,51.0,6.6,True,,,,,11.0,,8.0,1.0,1.0,5.0,2.0,1.0,,1.0,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,3428,Jordan Ayew,F,51.0,6.9,True,,,,,8.0,,4.0,,,9.0,6.0,,,1.0,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,144709,Joseph Anang,G,,,False,,,,,,,,,,,,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,480108,Benjamin Asare,G,,,False,,,,,,,,,,,,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,196187,Alidu Seidu,D,,,False,,,,,,,,,,,,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,15900,Abdul Mumin,D,,,False,,,,,,,,,,,,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,21996,Rahman Baba,D,,,False,,,,,,,,,,,,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,404172,Kojo Peprah Oppong,D,,,False,,,,,,,,,,,,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,25341,Derrick Luckassen,D,,,False,,,,,,,,,,,,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,3608,Kwasi Sibo,M,,,False,,,,,,,,,,,,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,303467,Abdul Fatawu Issahaku,F,,,False,,,,,,,,,,,,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,411800,Christopher Baah,F,,,False,,,,,,,,,,,,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,47294,Iñaki Williams,F,,,False,,,,,,,,,,,,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,337426,Augustine Boakye,M,,,False,,,,,,,,,,,,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,82090,Brandon Thomas-Asante,F,,,False,,,,,,,,,,,,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,1504,410016,Prince Kwabena Adu,F,,,False,,,,,,,,,,,,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,11,2968,Orlando Mosquera,G,51.0,6.3,True,,,,,15.0,,12.0,,,,,,,,,0,0
1489385,2026-06-17 23:00:00+00:00,11,57667,Jiovany Ramos,D,51.0,6.6,True,,,1.0,,56.0,,52.0,,1.0,2.0,1.0,1.0,1.0,,1.0,0,0
1489385,2026-06-17 23:00:00+00:00,11,57739,José Córdoba,D,51.0,6.5,True,,,,,68.0,,63.0,,,2.0,,,,,1.0,0,0
1489385,2026-06-17 23:00:00+00:00,11,7197,Andrés Andrade,D,51.0,7.5,True,,,,,56.0,,46.0,1.0,,10.0,5.0,,,,1.0,0,0
1489385,2026-06-17 23:00:00+00:00,11,2973,Amir Murillo,M,51.0,7.0,True,,,,,23.0,2.0,20.0,2.0,,7.0,5.0,,,1.0,,0,0
1489385,2026-06-17 23:00:00+00:00,11,71230,Carlos Harvey,M,51.0,6.2,True,,,,,29.0,,24.0,1.0,,6.0,1.0,,,,3.0,0,0
1489385,2026-06-17 23:00:00+00:00,11,46855,Yoel Bárcenas,M,51.0,6.7,True,,,,,24.0,,22.0,,,4.0,2.0,1.0,,1.0,,0,0
1489385,2026-06-17 23:00:00+00:00,11,2975,César Blackman,M,51.0,6.3,True,,,,,18.0,,16.0,1.0,1.0,5.0,2.0,1.0,,1.0,,0,0
1489385,2026-06-17 23:00:00+00:00,11,50911,Cristian Martínez,F,51.0,6.9,True,,,,,12.0,,11.0,4.0,,4.0,4.0,,,,,0,0
