fixture_id,date,team_id,team_name,opponent_id,is_home,goals_for,goals_against,outcome,possession_pct,passes_total,passes_accurate,passes_pct,shots_total,shots_on_target,shots_off_target,shots_blocked,shots_inside_box,shots_outside_box,fouls,corners,offsides,yellow_cards,red_cards,gk_saves,xg,is_complete
1489389,2026-06-20 00:30:00+00:00,6,Brazil,2386,True,3,0,W,57.0,522.0,461.0,88.0,8.0,5.0,2.0,1.0,8.0,0.0,13.0,4.0,8.0,1.0,,3.0,1.5,True
1489389,2026-06-20 00:30:00+00:00,2386,Haiti,6,False,0,3,L,43.0,399.0,331.0,83.0,8.0,3.0,4.0,1.0,5.0,3.0,15.0,4.0,4.0,3.0,,2.0,0.25,True
