matchday,player_id,player_name,team_id,matches,minutes,goals,assists,shots,key_passes,tackles,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,goal_involvements,goals_p90,assists_p90,ga_p90,key_passes_p90,def_actions_p90,duel_win_pct,dribble_success_pct,above_min_threshold
2,340173,Ermin Mahmić,1113,1,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.857,0.0,12.857,0.0,0.0,0.0,,False
2,406244,Johan Manzambi,15,1,19.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,4.0,1.0,2.0,9.474,0.0,9.474,0.0,0.0,20.0,25.0,False
2,48471,Rubén Vargas,15,1,19.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,4.737,4.737,9.474,4.737,4.737,100.0,,False
2,47323,Mikel Oyarzabal,9,1,45.0,2.0,1.0,5.0,1.0,1.0,0.0,6.0,3.0,0.0,0.0,3.0,4.0,2.0,6.0,2.0,2.0,50.0,,False
2,26475,Deniz Undav,25,1,34.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.294,0.0,5.294,5.294,0.0,0.0,,False
2,667,Memphis Depay,1118,1,18.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,5.0,5.0,5.0,0.0,20.0,0.0,False
2,294824,Nathan-Dylan Saliba,5529,1,41.0,1.0,1.0,1.0,2.0,1.0,0.0,5.0,2.0,1.0,0.0,2.0,2.195,2.195,4.39,4.39,2.195,40.0,0.0,False
2,37724,Crysencio Summerville,1118,1,45.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,50.0,50.0,False
2,2664,Mahmoud Trézéguet,32,1,25.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.6,0.0,3.6,0.0,0.0,0.0,,False
2,72155,Ayase Ueda,12,1,84.0,2.0,1.0,4.0,2.0,0.0,0.0,9.0,4.0,2.0,1.0,3.0,2.143,1.071,3.214,2.143,0.0,44.4,50.0,False
2,247,Cody Gakpo,1118,1,89.0,2.0,1.0,4.0,1.0,1.0,1.0,19.0,8.0,8.0,2.0,3.0,2.022,1.011,3.034,1.011,2.022,42.1,25.0,False
2,1165,Matheus Cunha,6,1,64.0,2.0,0.0,2.0,0.0,2.0,1.0,5.0,4.0,0.0,0.0,2.0,2.812,0.0,2.812,0.0,4.219,80.0,,False
2,8489,Jonathan David,5529,1,98.0,3.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.755,0.0,2.755,0.0,0.0,0.0,,True
2,153,Ousmane Dembélé,2,1,68.0,1.0,1.0,3.0,3.0,1.0,0.0,10.0,4.0,6.0,3.0,2.0,1.324,1.324,2.647,3.971,1.324,40.0,50.0,False
