matchday,player_id,player_name,team_id,matches,minutes,goals,assists,shots,key_passes,tackles,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,goal_involvements,goals_p90,assists_p90,ga_p90,key_passes_p90,def_actions_p90,duel_win_pct,dribble_success_pct,above_min_threshold
3,395559,Kerim Alajbegović,1113,1,82.0,1.0,0.0,1.0,2.0,0.0,0.0,17.0,10.0,9.0,6.0,1.0,1.098,0.0,1.098,2.195,0.0,58.8,66.7,False
3,407806,Rayan,6,1,82.0,0.0,1.0,2.0,4.0,2.0,1.0,10.0,7.0,2.0,2.0,1.0,0.0,1.098,1.098,4.39,3.293,70.0,100.0,False
3,421,Breel Embolo,15,1,85.0,0.0,1.0,2.0,1.0,0.0,1.0,11.0,7.0,2.0,2.0,1.0,0.0,1.059,1.059,1.059,1.059,63.6,100.0,False
3,311543,Nilson Angulo,2382,1,85.0,1.0,0.0,1.0,1.0,0.0,1.0,14.0,8.0,6.0,4.0,1.0,1.059,0.0,1.059,1.059,1.059,57.1,66.7,False
3,37155,Orkun Kökçü,777,1,88.0,0.0,1.0,2.0,2.0,2.0,0.0,13.0,4.0,3.0,1.0,1.0,0.0,1.023,1.023,2.045,2.045,30.8,33.3,False
3,344862,Hazem Mastouri,28,1,89.0,1.0,0.0,3.0,2.0,0.0,1.0,10.0,5.0,1.0,1.0,1.0,1.011,0.0,1.011,2.022,1.011,50.0,100.0,False
3,2878,Jorge Sánchez,16,1,90.0,0.0,1.0,1.0,3.0,2.0,2.0,9.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,44.4,50.0,True
3,2879,Roberto Alvarado,16,1,90.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,100.0,,True
3,291964,Arda Güler,777,1,90.0,1.0,0.0,1.0,0.0,2.0,0.0,15.0,10.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,66.7,100.0,True
3,33224,Daizen Maeda,12,1,90.0,1.0,0.0,2.0,1.0,4.0,0.0,9.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,55.6,0.0,True
3,180560,Hannibal Mejbri,28,1,90.0,0.0,1.0,1.0,2.0,1.0,1.0,15.0,8.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,53.3,25.0,True
3,290,Virgil van Dijk,1118,1,90.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,90.0,,True
3,35532,Julián Quiñones,16,1,90.0,1.0,0.0,3.0,0.0,2.0,0.0,11.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,27.3,,True
3,18979,Viktor Gyökeres,5,1,90.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,26.7,0.0,True
3,153430,Anthony Elanga,5,1,90.0,1.0,0.0,2.0,0.0,0.0,1.0,9.0,6.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,66.7,33.3,True
