fixture_id,date,team_id,player_id,player_name,position,minutes,rating,is_starter,goals,assists,shots_total,shots_on,passes_total,passes_key,passes_accuracy,tackles,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow,red
1489370,2026-06-13 01:00:00+00:00,2384,50728,Matthew Freese,G,99.0,6.3,True,,,,,20.0,,12.0,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2384,355994,Alexander Freeman,D,99.0,7.3,True,,1.0,,,74.0,1.0,64.0,1.0,2.0,13.0,8.0,3.0,2.0,,1.0,0,0
1489370,2026-06-13 01:00:00+00:00,2384,126949,Chris Richards,D,99.0,6.9,True,,,1.0,,83.0,,83.0,1.0,1.0,10.0,6.0,,,1.0,3.0,0,0
1489370,2026-06-13 01:00:00+00:00,2384,19023,Tim Ream,D,99.0,7.7,True,,,,,91.0,,85.0,1.0,1.0,5.0,3.0,1.0,1.0,,,0,0
1489370,2026-06-13 01:00:00+00:00,2384,19549,Antonee Robinson,D,99.0,6.9,True,,,,,56.0,1.0,44.0,,,8.0,4.0,4.0,2.0,,1.0,0,0
1489370,2026-06-13 01:00:00+00:00,2384,1150,Tyler Adams,M,99.0,7.0,True,,,,,58.0,1.0,52.0,2.0,3.0,14.0,9.0,2.0,2.0,3.0,2.0,1,0
1489370,2026-06-13 01:00:00+00:00,2384,162037,Malik Tillman,M,82.0,7.5,True,,1.0,3.0,2.0,38.0,3.0,30.0,,1.0,18.0,7.0,5.0,2.0,4.0,1.0,0,0
1489370,2026-06-13 01:00:00+00:00,2384,38735,Sergiño Dest,M,72.0,6.6,True,,,,,35.0,,28.0,,2.0,10.0,4.0,7.0,4.0,,,0,0
1489370,2026-06-13 01:00:00+00:00,2384,415,Weston McKennie,M,99.0,7.2,True,,,,,51.0,3.0,39.0,,,6.0,3.0,3.0,3.0,,,0,0
1489370,2026-06-13 01:00:00+00:00,2384,17,Christian Pulišić,M,45.0,7.5,True,,1.0,,,22.0,2.0,18.0,1.0,,8.0,5.0,5.0,3.0,1.0,1.0,0,0
1489370,2026-06-13 01:00:00+00:00,2384,138835,Folarin Balogun,F,72.0,9.2,True,2.0,,4.0,3.0,16.0,,10.0,,,10.0,5.0,3.0,1.0,4.0,,0,0
1489370,2026-06-13 01:00:00+00:00,2384,201713,Sebastian Berhalter,M,54.0,6.9,False,,,1.0,,27.0,,19.0,,1.0,3.0,3.0,,,1.0,,0,0
1489370,2026-06-13 01:00:00+00:00,2384,1138,Tim Weah,F,27.0,6.3,False,,,1.0,,14.0,,13.0,,,3.0,,1.0,,,2.0,0,0
1489370,2026-06-13 01:00:00+00:00,2384,73868,Ricardo Pepi,F,27.0,6.3,False,,,1.0,,3.0,1.0,3.0,1.0,,3.0,1.0,,,,1.0,0,0
1489370,2026-06-13 01:00:00+00:00,2384,161921,Giovanni Reyna,M,17.0,7.9,False,1.0,,1.0,1.0,8.0,,8.0,,,3.0,2.0,,,2.0,1.0,0,0
1489370,2026-06-13 01:00:00+00:00,2384,50999,Matt Turner,G,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2384,266606,Chris Brady,G,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2384,50737,Auston Trusty,D,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2384,50879,Miles Robinson,D,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2384,50735,Mark McKenzie,D,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2384,50852,Joe Scally,D,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2384,362400,Maximilian Arfsten,M,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2384,51114,Cristian Roldán,M,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2384,50739,Brenden Aaronson,M,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2384,35885,Alex Zendejas,F,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2384,427,Haji Wright,F,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2380,70852,Orlando Gill,G,99.0,6.2,True,,,,,25.0,,15.0,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2380,195992,Juan Cáceres,D,79.0,6.2,True,,,,,32.0,,20.0,5.0,,16.0,9.0,1.0,1.0,2.0,3.0,1,0
1489370,2026-06-13 01:00:00+00:00,2380,2502,Gustavo Gómez,D,99.0,5.9,True,,,,,29.0,,23.0,1.0,1.0,7.0,5.0,,,,2.0,1,0
1489370,2026-06-13 01:00:00+00:00,2380,6168,Omar Alderete,D,99.0,5.9,True,,,,,33.0,1.0,21.0,,1.0,4.0,2.0,,,1.0,1.0,0,0
1489370,2026-06-13 01:00:00+00:00,2380,2499,Junior Alonso,D,99.0,5.2,True,,,,,34.0,1.0,23.0,2.0,2.0,8.0,3.0,,,1.0,1.0,1,0
1489370,2026-06-13 01:00:00+00:00,2380,278370,Diego Gómez,M,80.0,6.5,True,,,2.0,,26.0,,21.0,2.0,2.0,10.0,5.0,1.0,1.0,,1.0,0,0
1489370,2026-06-13 01:00:00+00:00,2380,6236,Andrés Cubas,M,99.0,6.9,True,,,,,31.0,,25.0,5.0,,12.0,5.0,,,,5.0,0,0
1489370,2026-06-13 01:00:00+00:00,2380,195107,Damián Bobadilla,M,45.0,5.5,True,,,,,11.0,,9.0,,2.0,4.0,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2380,2507,Miguel Almirón,M,79.0,6.3,True,,,,,23.0,2.0,18.0,2.0,1.0,9.0,6.0,2.0,2.0,1.0,1.0,1,0
1489370,2026-06-13 01:00:00+00:00,2380,2522,Antonio Sanabria,F,62.0,6.5,True,,,,,10.0,1.0,5.0,,,11.0,4.0,,,1.0,1.0,0,0
1489370,2026-06-13 01:00:00+00:00,2380,70747,Julio Enciso,F,99.0,7.2,True,,1.0,1.0,,25.0,1.0,20.0,2.0,,14.0,8.0,4.0,2.0,4.0,,0,0
1489370,2026-06-13 01:00:00+00:00,2380,106485,Mauricio,M,54.0,7.5,False,1.0,,1.0,1.0,20.0,,14.0,2.0,,5.0,3.0,,,1.0,,0,0
1489370,2026-06-13 01:00:00+00:00,2380,95460,Alex Arce,F,37.0,6.2,False,,,,,6.0,1.0,4.0,1.0,,8.0,1.0,,,,1.0,1,0
1489370,2026-06-13 01:00:00+00:00,2380,35808,Gustavo Velázquez,D,20.0,6.2,False,,,,,3.0,,3.0,,,3.0,1.0,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2380,196298,Ramón Sosa,F,20.0,6.7,False,,,,,3.0,,3.0,,,1.0,1.0,,,1.0,,0,0
1489370,2026-06-13 01:00:00+00:00,2380,2514,Alejandro Romero,M,19.0,6.3,False,,,,,9.0,,6.0,,,2.0,1.0,,,1.0,1.0,0,0
1489370,2026-06-13 01:00:00+00:00,2380,51733,Gastón Olveira,G,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2380,2497,Roberto Fernández,G,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2380,2500,Fabián Balbuena,D,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2380,425020,Alexandro Maidana,D,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2380,70732,José Canale,D,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2380,70767,Braian Ojeda,M,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2380,119128,Gustavo Caballero,F,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2380,305832,Matías Galarza,M,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2380,6483,Gabriel Ávalos,F,,,False,,,,,,,,,,,,,,,,0,0
1489370,2026-06-13 01:00:00+00:00,2380,70670,Isidro Pitta,F,,,False,,,,,,,,,,,,,,,,0,0
