fixture_id,date,team_id,player_id,player_name,position,minutes,rating,is_starter,goals,assists,shots_total,shots_on,passes_total,passes_key,passes_accuracy,tackles,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow,red
1489406,2026-06-24 22:00:00+00:00,1108,18933,Angus Gunn,G,93.0,8.2,True,,,,,34.0,,23.0,,,1.0,,,,,,0,0
1489406,2026-06-24 22:00:00+00:00,1108,138417,Nathan Patterson,D,82.0,6.3,True,,,,,56.0,,51.0,3.0,1.0,7.0,3.0,1.0,,,1.0,0,0
1489406,2026-06-24 22:00:00+00:00,1108,1111,Jack Hendry,D,93.0,6.3,True,,,,,54.0,1.0,52.0,,,3.0,2.0,,,1.0,1.0,0,0
1489406,2026-06-24 22:00:00+00:00,1108,44811,Scott McKenna,D,93.0,5.9,True,,,,,53.0,,49.0,,,,,,,,,0,0
1489406,2026-06-24 22:00:00+00:00,1108,289,Andy Robertson,D,45.0,6.3,True,,,,,35.0,,31.0,1.0,,3.0,2.0,,,,,0,0
1489406,2026-06-24 22:00:00+00:00,1108,44814,Lewis Ferguson,M,93.0,7.9,True,,,2.0,1.0,91.0,1.0,87.0,3.0,,10.0,4.0,,,,2.0,0,0
1489406,2026-06-24 22:00:00+00:00,1108,19077,Kenny McLean,M,93.0,6.5,True,,,,,46.0,,41.0,,1.0,5.0,1.0,,,1.0,,0,0
1489406,2026-06-24 22:00:00+00:00,1108,343576,Ben Gannon-Doak,M,82.0,6.0,True,,,1.0,,19.0,,19.0,1.0,,7.0,1.0,3.0,,,1.0,0,0
1489406,2026-06-24 22:00:00+00:00,1108,903,Scott McTominay,M,93.0,6.7,True,,,3.0,2.0,31.0,,27.0,1.0,,9.0,3.0,1.0,1.0,,1.0,0,0
1489406,2026-06-24 22:00:00+00:00,1108,19191,John McGinn,M,91.0,6.2,True,,,,,30.0,1.0,28.0,,,8.0,5.0,2.0,1.0,4.0,,0,0
1489406,2026-06-24 22:00:00+00:00,1108,45175,Lawrence Shankland,F,91.0,6.2,True,,,2.0,,18.0,3.0,13.0,1.0,,8.0,3.0,,,1.0,1.0,0,0
