fixture_id,date,team_id,player_id,player_name,position,minutes,rating,is_starter,goals,assists,shots_total,shots_on,passes_total,passes_key,passes_accuracy,tackles,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow,red
1489420,2026-06-27 21:00:00+00:00,3,1305,Dominik Livaković,G,96.0,6.5,True,,,,,20.0,,15.0,,,1.0,1.0,,,1.0,,0,0
1489420,2026-06-27 21:00:00+00:00,3,125171,Josip Stanišić,D,96.0,6.2,True,,,,,37.0,,33.0,,,2.0,,,,,,0,0
1489420,2026-06-27 21:00:00+00:00,3,14701,Josip Šutalo,D,96.0,7.2,True,,,,,87.0,,82.0,2.0,1.0,3.0,3.0,,,,,0,0
1489420,2026-06-27 21:00:00+00:00,3,1084,Marin Pongračić,D,96.0,6.6,True,,,1.0,,72.0,,69.0,3.0,,7.0,4.0,,,,2.0,0,0
1489420,2026-06-27 21:00:00+00:00,3,207,Ivan Perišić,D,96.0,6.7,True,,,1.0,1.0,45.0,,43.0,2.0,1.0,5.0,3.0,,,,1.0,1,0
1489420,2026-06-27 21:00:00+00:00,3,754,Luka Modrić,M,96.0,7.9,True,,1.0,,,87.0,4.0,81.0,2.0,,7.0,3.0,2.0,1.0,,,0,0
1489420,2026-06-27 21:00:00+00:00,3,2291,Mateo Kovačić,M,78.0,6.9,True,,1.0,,,61.0,1.0,58.0,1.0,,2.0,1.0,,,,,0,0
1489420,2026-06-27 21:00:00+00:00,3,842,Nikola Vlašić,M,88.0,7.3,True,1.0,,2.0,1.0,21.0,,20.0,1.0,,7.0,2.0,,,,2.0,0,0
1489420,2026-06-27 21:00:00+00:00,3,348205,Petar Sučić,M,96.0,8.7,True,1.0,,1.0,1.0,34.0,1.0,31.0,1.0,,8.0,6.0,,,4.0,,0,0
1489420,2026-06-27 21:00:00+00:00,3,295026,Martin Baturina,M,88.0,6.9,True,,,,,26.0,2.0,20.0,1.0,,17.0,8.0,4.0,2.0,5.0,1.0,0,0
1489420,2026-06-27 21:00:00+00:00,3,46746,Ante Budimir,F,66.0,6.0,True,,,,,5.0,,4.0,,,5.0,,,,,3.0,0,0
1489420,2026-06-27 21:00:00+00:00,3,202696,Igor Matanović,F,30.0,6.7,False,,,,,6.0,,4.0,,,5.0,5.0,1.0,1.0,2.0,,0,0
1489420,2026-06-27 21:00:00+00:00,3,2763,Mario Pašalić,M,18.0,6.7,False,,,1.0,1.0,10.0,,10.0,,,1.0,,1.0,,,,0,0
1489420,2026-06-27 21:00:00+00:00,3,129033,Joško Gvardiol,D,8.0,6.6,False,,,,,2.0,,2.0,1.0,2.0,3.0,2.0,1.0,,1.0,,0,0
1489420,2026-06-27 21:00:00+00:00,3,260865,Marco Pašalić,F,8.0,6.3,False,,,,,4.0,,2.0,,,3.0,2.0,3.0,2.0,,,0,0
1489420,2026-06-27 21:00:00+00:00,3,524,Dominik Kotarski,G,,,False,,,,,,,,,,,,,,,,0,0
1489420,2026-06-27 21:00:00+00:00,3,14268,Ivor Pandur,G,,,False,,,,,,,,,,,,,,,,0,0
1489420,2026-06-27 21:00:00+00:00,3,1902,Duje Ćaleta-Car,D,,,False,,,,,,,,,,,,,,,,0,0
1489420,2026-06-27 21:00:00+00:00,3,387521,Luka Vušković,D,,,False,,,,,,,,,,,,,,,,0,0
1489420,2026-06-27 21:00:00+00:00,3,30827,Martin Erlić,D,,,False,,,,,,,,,,,,,,,,0,0
1489420,2026-06-27 21:00:00+00:00,3,14395,Kristijan Jakić,M,,,False,,,,,,,,,,,,,,,,0,0
1489420,2026-06-27 21:00:00+00:00,3,7332,Luka Sučić,M,,,False,,,,,,,,,,,,,,,,0,0
1489420,2026-06-27 21:00:00+00:00,3,1322,Nikola Moro,M,,,False,,,,,,,,,,,,,,,,0,0
1489420,2026-06-27 21:00:00+00:00,3,284869,Toni Fruk,M,,,False,,,,,,,,,,,,,,,,0,0
1489420,2026-06-27 21:00:00+00:00,3,726,Andrej Kramarić,F,,,False,,,,,,,,,,,,,,,,0,0
1489420,2026-06-27 21:00:00+00:00,3,66055,Petar Musa,F,,,False,,,,,,,,,,,,,,,,0,0
1489420,2026-06-27 21:00:00+00:00,1504,480108,Benjamin Asare,G,96.0,5.9,True,,,,,14.0,,12.0,,,,,,,,,0,0
1489420,2026-06-27 21:00:00+00:00,1504,191240,Marvin Senaya,D,96.0,6.2,True,,,,,34.0,,28.0,5.0,3.0,15.0,9.0,,,2.0,3.0,0,0
